"loan_id","customer_id","loan_date","loan_amount","interest_rate","term_months","status"
200101,383332,"2023-06-15",50000000.00,8.5,24,Ongoing
200102,540832,"2022-09-10",120000000.00,7.8,36,Ongoing
200103,208333,"2024-01-20",35000000.00,9.2,12,Ongoing
200104,320083,"2023-03-05",60000000.00,8.0,18,Ongoing
200105,970083,"2022-11-28",90000000.00,8.7,30,Ongoing
200106,390836,"2023-08-12",45000000.00,9.0,12,Ongoing
200107,290837,"2024-02-03",70000000.00,8.3,24,Ongoing
200108,283878,"2023-07-22",55000000.00,8.9,18,Ongoing
200109,308395,"2022-12-17",80000000.00,7.5,36,Matured
200110,240810,"2023-10-09",30000000.00,9.5,12,Ongoing
200111,390081,"2024-04-18",65000000.00,8.2,24,Ongoing
200112,490812,"2023-09-27",40000000.00,9.1,12,Ongoing
200113,390813,"2023-05-06",52000000.00,8.6,18,Ongoing
200114,290814,"2024-03-15",47000000.00,8.4,24,Ongoing
200115,273081,"2023-11-03",100000000.00,7.9,36,Matured
200116,870816,"2023-07-11",38000000.00,9.3,12,Ongoing
200117,380817,"2024-01-25",75000000.00,8.1,24,Ongoing
200118,280818,"2023-06-28",43000000.00,9.0,18,Ongoing
200119,488195,"2024-02-08",68000000.00,8.5,24,Ongoing
200120,440820,"2023-12-05",36000000.00,9.2,12,Ongoing
